,Rating,Reviews,Ratings
69,3.9 out of 5,"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",3.9
70,3.8 out of 5," Great product, good sound quality. Bought for INR 2700. The product is really good and have great features. Super base",3.8
71,3.8 out of 5," Great product, good sound quality. Bought for INR 2700. The product is really good and have great features. Super base",3.8
72,3.8 out of 5,"Play Video
 Great product, good sound quality. Bought for INR 2700. The product is really good and have great features. Super base",3.8
73,3.8 out of 5," Great product, good sound quality. Bought for INR 2700. The product is really good and have great features. Super base",3.8
74,4.1 out of 5,Product has wireless connectivity in specifications but product has delivered with wire connection. This is cheapest and Chinese product.,4.1
75,4.1 out of 5,Product has wireless connectivity in specifications but product has delivered with wire connection. This is cheapest and Chinese product.,4.1
76,4.1 out of 5,Product has wireless connectivity in specifications but product has delivered with wire connection. This is cheapest and Chinese product.,4.1
77,4.1 out of 5,Product has wireless connectivity in specifications but product has delivered with wire connection. This is cheapest and Chinese product.,4.1
78,3.7 out of 5,Nicee Bass,3.7
79,3.7 out of 5,Nicee Bass,3.7
80,3.7 out of 5,Nicee Bass,3.7
81,3.7 out of 5,Nicee Bass,3.7
82,3.4 out of 5,"Today 25th Oct 2020, I received my product. One week prior delivery than given date. Fast delivery. Connected to IPhone 6, the Aux, Bluetooth and usb port. Worked perfectly as mentioned. Bluetooth volume is a little higher than Aux volume. It is almost parallel to Panasonic ht 21. Bass enclosure is sturdy and satellite speakers are light. Sound quality is good and clear. Bass is nice and my room 12x20ft room is booming like speaker enclosure. For some english songs I have to reduce bass in my player app for appropriate good bass. So far everything goes well as anticipated. I can’t understand why such a nice product Akai has very little response in market. Perhaps Indians are more incline to Philips, Sony and Panasonic. In audio systems Akai is identical to Sony and I am using Akai music systems since 1981 when my father bought it for me",3.4
83,3.4 out of 5,"Today 25th Oct 2020, I received my product. One week prior delivery than given date. Fast delivery. Connected to IPhone 6, the Aux, Bluetooth and usb port. Worked perfectly as mentioned. Bluetooth volume is a little higher than Aux volume. It is almost parallel to Panasonic ht 21. Bass enclosure is sturdy and satellite speakers are light. Sound quality is good and clear. Bass is nice and my room 12x20ft room is booming like speaker enclosure. For some english songs I have to reduce bass in my player app for appropriate good bass. So far everything goes well as anticipated. I can’t understand why such a nice product Akai has very little response in market. Perhaps Indians are more incline to Philips, Sony and Panasonic. In audio systems Akai is identical to Sony and I am using Akai music systems since 1981 when my father bought it for me",3.4
84,3.4 out of 5,"Today 25th Oct 2020, I received my product. One week prior delivery than given date. Fast delivery. Connected to IPhone 6, the Aux, Bluetooth and usb port. Worked perfectly as mentioned. Bluetooth volume is a little higher than Aux volume. It is almost parallel to Panasonic ht 21. Bass enclosure is sturdy and satellite speakers are light. Sound quality is good and clear. Bass is nice and my room 12x20ft room is booming like speaker enclosure. For some english songs I have to reduce bass in my player app for appropriate good bass. So far everything goes well as anticipated. I can’t understand why such a nice product Akai has very little response in market. Perhaps Indians are more incline to Philips, Sony and Panasonic. In audio systems Akai is identical to Sony and I am using Akai music systems since 1981 when my father bought it for me",3.4
85,3.4 out of 5,"Today 25th Oct 2020, I received my product. One week prior delivery than given date. Fast delivery. Connected to IPhone 6, the Aux, Bluetooth and usb port. Worked perfectly as mentioned. Bluetooth volume is a little higher than Aux volume. It is almost parallel to Panasonic ht 21. Bass enclosure is sturdy and satellite speakers are light. Sound quality is good and clear. Bass is nice and my room 12x20ft room is booming like speaker enclosure. For some english songs I have to reduce bass in my player app for appropriate good bass. So far everything goes well as anticipated. I can’t understand why such a nice product Akai has very little response in market. Perhaps Indians are more incline to Philips, Sony and Panasonic. In audio systems Akai is identical to Sony and I am using Akai music systems since 1981 when my father bought it for me",3.4
86,4 out of 5,"The speakers were delivered on time and I don’t regret buying them. The sound quality is awesome and if u r looking for a home theatre under 8K you can simply go for it.
The bass is amazing and it does not distort, you can actually feel the thump when you play it in medium volume, it’s been more than a week and I have not really played them on full volume cuz of the thump!! Dnt think twice, go for them!",4
87,4 out of 5,"The speakers were delivered on time and I don’t regret buying them. The sound quality is awesome and if u r looking for a home theatre under 8K you can simply go for it.
The bass is amazing and it does not distort, you can actually feel the thump when you play it in medium volume, it’s been more than a week and I have not really played them on full volume cuz of the thump!! Dnt think twice, go for them!",4
88,4 out of 5,"The speakers were delivered on time and I don’t regret buying them. The sound quality is awesome and if u r looking for a home theatre under 8K you can simply go for it.
The bass is amazing and it does not distort, you can actually feel the thump when you play it in medium volume, it’s been more than a week and I have not really played them on full volume cuz of the thump!! Dnt think twice, go for them!",4
89,4 out of 5,"The speakers were delivered on time and I don’t regret buying them. The sound quality is awesome and if u r looking for a home theatre under 8K you can simply go for it.
The bass is amazing and it does not distort, you can actually feel the thump when you play it in medium volume, it’s been more than a week and I have not really played them on full volume cuz of the thump!! Dnt think twice, go for them!",4
90,3.9 out of 5, I love this speaker there is no negative to say on my view,3.9
91,3.9 out of 5, I love this speaker there is no negative to say on my view,3.9
92,3.9 out of 5,"Play Video
 I love this speaker there is no negative to say on my view",3.9
93,3.9 out of 5, I love this speaker there is no negative to say on my view,3.9
94,4.4 out of 5,"Bass is very very low, not low this speaker don't have BASS, effect, and Bluetooth not working, humming noise is more. So I review don't by this speaker, especially for bass lovers",4.4
95,4.4 out of 5,"Bass is very very low, not low this speaker don't have BASS, effect, and Bluetooth not working, humming noise is more. So I review don't by this speaker, especially for bass lovers",4.4
